OPERATING AGREEMENT	ОПЕРАЦИОННОЕ СОГЛАШЕНИЕ
1.13 Consequential Loss means any loss, damages, costs, expenses or liabilities caused (directly or indirectly) by any of the following arising out of, relating to, or connected with this Agreement or the operations carried out under this Agreement: (i) reservoir or formation damage; (ii) inability to produce, use or dispose of Hydrocarbons; (iii) loss or deferment of income; (iv) punitive damages; or (v) other indirect damages or losses whether or not similar to the foregoing.	1.13 Вытекающие Убытки означает любые убытки, ущерб, расходы, затраты или ответственность, вызванные (прямо либо косвенно) чем-либо из перечисленного и возникшие из или в связи с настоящим Соглашением или операциями, осуществляемыми по настоящему Соглашению:(i) повреждением нефтеносного коллектора или пласта; (ii) невозможностью добывать, использовать или распоряжаться Углеводородами; (iii) потерей или отсрочкой в получении дохода; штрафными убытками; или (v) иными опосредованными убытками, как сходными с вышеперечисленным, так и нет.
1.14 Contract means the instrument identified in the recitals to this Agreement and any extension, renewal or amendment thereto.	1.14 Контракт означает документ, упомянутый в Преамбуле к настоящему Соглашению, а также любые его пролонгации, возобновления и изменения к нему.
1.15 Contract Area means as of the Effective Date the area that is described in Exhibit B.	1.15 Контрактная Территория означает, с Даты Вступления в Силу, территорию, описанную в Приложении В.
The perimeter or perimeters of the Contract Area shall correspond to that area covered by the Contract, as such area may vary from time to time during the term of validity of the Contract.	Граница или границы Контрактной Территории должны соответствовать территории, указанной в Контракте, с учетом возможных изменений такой территории в течение срока действия Контракта.
1.16 Control means the ownership directly or indirectly of Check one Alternative.	1.16 Контроль означает прямое или опосредованное владение Выберите один Вариант.
ALTERNATIVE NO. 1	ВАРИАНТ 1
more than fifty (50) percent	более чем 50% (пятьюдесятью процентами)
fifty (50) percent or more of the voting rights in a legal entity.	50 (пятьюдесятью) или более процентами прав голоса в юридическом лице.
"Controls", "Controlled by" and other derivatives shall be construed accordingly.	Термины "Контролирует", "Контролируется" и прочие производные термины получают соответствующее толкование.
1.17 Cost Hydrocarbons means that portion of the total production of Hydrocarbons which is allocated to the Parties under the Contract and this Agreement for the recovery of the costs and expenses incurred by the Parties and allowed to be recovered pursuant to the Contract.	1.17 Компенсационные Углеводороды означает ту часть от совокупного объема добычи Углеводородов, которая передается Сторонам по Контракту и настоящему Соглашению для возмещения расходов и затрат, понесенных Сторонами и компенсируемых в соответствии с Контрактом.
1.18 Crude Oil means all crude oils, condensates, and natural gas liquids at atmospheric pressure which are subject to and covered by the Contract.	1.18 Сырая Нефть означает любые виды сырой нефти, конденсата и газоконденсата остающиеся в жидком состоянии при атмосферном давлении, на которые распространяются положения Контракта.
1.19 Day means a calendar day unless otherwise specifically provided.	1.19 День означает любой календарный день, если прямо не указано иное.
1.20 Deepening means an operation whereby a well is drilled to an objective Zone below the deepest Zone in which the well was previously drilled, or below the deepest Zone proposed in the associated AFE (if required), whichever is the deeper.	1.20 Углубление означает операцию, посредством которой производится бурение скважины до целевой Зоны, находящейся ниже самой глубокой Зоны, до которой скважина ранее пробуривалась, или ниже самой глубокой Зоны, предлагаемой в соответствующем РНР (в случае необходимости), в зависимости от того, какая из этих Зо н глубже.
"Deepen" and other derivatives shall be construed accordingly.	Термин "Углублять" и прочие производные термины получают соответствующее толкование.
1.21 Development Plan means a plan for the development of Hydrocarbons from an Exploitation Area.	1.21 План Разработки означает план добычи Углеводородов в Зоне Эксплуатации.
1.22 Development Well means any well drilled for the production of Hydrocarbons pursuant to a Development Plan.	1.22 Эксплуатационная Скважина означает любую скважину, пробуренную для добычи Углеводородов согласно Плану Разработки.
1.23 Discovery means the discovery of an accumulation of Hydrocarbons whose existence until that moment was unproven by drilling.	1.23 Открытие означает обнаружение запасов Углеводородов, существование которых до того момента времени не было доказано посредством бурения.
1.24 Dispute means any dispute, controversy or claim (of any and every kind or type, whether based on contract, tort, statute, regulation, or otherwise) arising out of, relating to, or connected with this Agreement or the operations carried out under this Agreement, including any dispute as to the construction, validity, interpretation, enforceability or breach of this Agreement.	1.24 Спор означает любой спор, конфликт или претензию (любого типа, как вытекающие из договора или из деликта, так и заявленные в силу законодательного или подзаконного акта, или на иных основаниях), возникающие в связи с настоящим Соглашением или относящиеся к нему либо к операциям, выполняемым в соответствии с настоящим Соглашением; включая любой спор, касающийся толкования, действительности, интерпретации, принудительного исполнения или нарушения настоящего Соглашения.
1.25 Entitlement means that quantity of Hydrocarbons (excluding all quantities used or lost in Joint Operations) of which a Party has the right and obligation to take delivery pursuant to the terms of this Agreement and the Contract, as such rights and obligations may be adjusted by the terms of any lifting, balancing and other disposition agreements entered into pursuant to Article 9.	1.25 Доля в Продукции означает то количество Углеводородов (за исключением любых объемов, использованных или потерянных в ходе Совместных Операций), которое какая- либо Сторона имеет право и обязана получить в соответствии с условиями настоящего Соглашения и Контракта, при условии, что такие права и обязательства могут быть скорректированы условиями любого соглашения о координации добычи и распределения Углеводородов, балансировании и ином распоряжении, заключаемого в соответствии со статьей 9.
1.26 Environmental Loss means any loss, damages, costs, expenses or liabilities (other than Consequential Loss) caused by a discharge of Hydrocarbons, pollutants or other contaminants into or onto any medium (such as land, surface water, ground water and/or air) arising out of, relating to, or connected with this Agreement or the operations carried out under this Agreement, including any of the following: (i) injury or damage to, or destruction of, natural resources or real or personal property; (ii) cost of pollution control, cleanup and removal; (iii) cost of restoration of natural resources; and (iv) fines, penalties or other assessments.	1.26 Экологические Убытки означает любые убытки, ущерб, расходы, затраты или ответственность (кроме Вытекающих Убытков), вызванные загрязнением Углеводородами, примесями и прочими загрязняющими веществами любой окружающей среды (например, земли, поверхностных вод, грунтовых вод и/или воздуха) в результате или в связи с исполнением настоящего Соглашения или осуществлением операций по настоящему Соглашению, включая любое из нижеперечисленного: (i) нанесение вреда или ущерба, или разрушение природных ресурсов или недвижимого либо движимого имущества; (ii) расходы на мониторинг, очистку и вывоз загрязняющих веществ; (iii) расходы на восстановление природных ресурсов; и (iv) штрафы, пени и прочие взыскания.
1.27 Exclusive Operation means those operations and activities carried out pursuant to this Agreement, the costs of which are chargeable to the account of less than all the Parties.	1.27 Эксклюзивная Операция означает операции и деятельность, осуществляемые в соответствии с настоящим Соглашением, ответственность по оплате которых несут не все Стороны.
1.28 Exclusive Well means a well drilled pursuant to an Exclusive Operation.	1.28 Эксклюзивная Скважина означает скважину, пробуренную в рамках Эксклюзивной Операции.
1.29 Exploitation Area means that part of the Contract Area which is established for development of a Commercial Discovery pursuant to the Contract or, if the Contract does not establish an exploitation area, then that part of the Contract Area which is delineated as the exploitation area in a Development Plan approved as a Joint Operation or as an Exclusive Operation.	1.29 Зона Эксплуатации означает часть Контрактной Территории, которая определяется для целей разработки Коммерческого Открытия в соответствии с Контрактом или, если Контракт не определяет зону эксплуатации, то ту часть Контрактной Территории, которая определена как зона эксплуатации в Плане Разработки, утвержденном в качестве Совместной Операции или Эксклюзивной Операции.
1.30 Exploitation Period means any and all periods of exploitation during which the production and removal of Hydrocarbons is permitted under the Contract.	1.30 Срок Эксплуатации означает все без исключения периоды эксплуатации, в течение которых добыча и извлечение Углеводородов разрешены Контрактом.
1.31 Exploration Period means any and all periods of exploration set out in the Contract.	1.31 Период Геологоразведочных Работ означает все без исключения периоды геологоразведочных работ, установленные в Контракте.
1.32 Exploration Well means any well the purpose of which at the time of the commencement of drilling is to explore for an accumulation of Hydrocarbons, which accumulation was at that time unproven by drilling.	1.32 Разведочная Скважина означает любую скважину, целью бурения которой на момент начала ее бурения является разведка скопления Углеводородов, которое до того момента не было подтверждено бурением.
1.33 G & G Data means only geological, geophysical and geochemical data and other similar information that is not obtained through a well bore.	1.33 Геоинформация означает только ту геологическую, геофизическую, геохимическую и тому подобную информацию, которая получена не из ствола скважины.
1.34 Government means the government of and any political subdivision, agency or instrumentality thereof, including the Government Oil & Gas Company.	1.34 Государство означает правительство __ и любое его политическое подразделение, агентство или орган, включая Государственную Нефтегазовую Компанию.
1.35 Government Oil & Gas Company means	1.35 Государственная Нефтегазовая Компания означает__.
1.36 Gross Negligence / Willful Misconduct means any act or failure to act (whether sole, joint or concurrent) by any person or entity which was intended to cause, or which was in reckless disregard of or wanton indifference to, harmful consequences such person or entity knew, or should have known, such act or failure would have on the safety or property of another person or entity.	1.36 Грубая Халатность/Умышленное Нарушение означает любое действие или бездействие (единичное, совместное или одновременное) со стороны любого лица или организации, совершенное намеренно или с необоснованным пренебрежением или безразличием к негативным последствиям, которые, как это было известно или должно было быть известно такому лицу или организации, возникнут вследствие совершения такого действия или бездействия и отразятся на безопасности или имуществе другого лица или организации.
1.37 Hydrocarbons means all substances which are subject to and covered by the Contract, including Crude Oil and Natural Gas.	1.37 Углеводороды означает любые вещества, подпадающие под действие и являющиеся предметом Контракта, включая Сырую Нефть и Природный Газ.
1.38 Joint Account means the accounts maintained by Operator in accordance with the provisions of this Agreement, including the Accounting Procedure.	1.38 Совместный Счет Бухгалтерского Учета означает счета, которые ведет Оператор в соответствии с положениями настоящего Соглашения, в том числе с Правилами Финансовой Отчетности.
1.39 Joint Operations means those operations and activities carried out by Operator pursuant to this Agreement, the costs of which are chargeable to all Parties.	1.39 Совместные Операции означает операции и деятельность, осуществляемые Оператором в соответствии с настоящим Соглашением, ответственность по оплате которых несут все Стороны.
1.40 Joint Property means, at any point in time, all wells, facilities, equipment, materials, information, funds and property (other than Hydrocarbons) held for use in Joint Operations.	1.40 Совместная Собственность означает, в любой отдельно взятый момент времени, все скважины, сооружения, оборудование, материалы, информация, средства и имущество (за исключением Углеводородов), используемые в рамках Совместных Операций.
[NOTE: This definition should be reviewed in light of the Alternative chosen in Article 15 with regard to Venture Information.']	[ПРИМЕЧАНИЕ: Данное определение необходимо скорректировать с учетом того Варианта, который будет выбран в статье 15 в отношении Рабочей Информации.]
1.41 Laws / Regulations means those laws, statutes, rules and regulations governing activities under the Contract.	1.41 Законы/Постановления означает законы, подзаконные акты, правила и постановления, регулирующие деятельность по Контракту.
1.42 Minimum Work Obligations means those work and/or expenditure obligations specified in the Contract that must be performed in order to satisfy the obligations of the Contract.	1.42 Минимальные Рабочие Обязательства означает рабочие обязательства и/или обязательства по расходам, указанные в Контракте, которые необходимо исполнить для выполнения обязательств по Контракту.
1.43 Natural Gas means all gaseous hydrocarbons (including wet gas, dry gas and residue gas) which are subject to and covered by the Contract, but excluding Crude Oil.	1.43 Природный Газ означает все газообразные углеводороды (включая влажный газ, сухой газ и остаточный газ), которые являются предметом Контракта, за исключением Сырой Нефти.
1.44 Non-Consenting Party means each Party who elects not to participate in an Exclusive Operation.	1.44 Неприсоединившаяся Сторона означает любую Сторону, решившую не участвовать в Эксклюзивной Операции.
1.45 Non-Operator means each Party to this Agreement other than Operator.	1.45 СНО (Сторона(ы), не являющаяся(иеся) Оператором) означает любую Сторону по настоящему Соглашению, не являющуюся Оператором.
1.46 Operating Committee means the committee constituted in accordance with Article 5.	1.46 Руководящий Комитет означает комитет, созданный в соответствии со статьей 5.
1.47 Operator means a Party to this Agreement designated as such in accordance with Articles 4 or 7.12(F).	1.47 Оператор означает Сторону по настоящему Договору, определенную в соответствии со статьей 4 или статьей 7.12(F).
1.48 Participating Interest means as to any Party, the undivided interest of such Party (expressed as a percentage of the total interests of all Parties) in the rights and obligations derived from the Parties' interest in the Contract and this Agreement.	1.48 Доля Участия означает, применительно к любой Стороне, долю такой Стороны (выраженную в процентах от совокупности долей всех Сторон) в правах и обязательствах Сторон по Контракту и настоящему Договору
1.49 Plugging Back means a single operation whereby a deeper Zone is abandoned in order to attempt a Completion in a shallower Zone.	1.49 Тампонаж означает единую операцию, в рамках которой прекращаются любые операции в Зоне более глубокого залегания для проведения попытки Заканчивания на вышележащем горизонте.
"Plug Back" and other derivatives shall be construed accordingly.	Термин "Тампонировать" и прочие производные термины получают соответствующее толкование.
1.50 Profit Hydrocarbons means that portion of the total production of Hydrocarbons, in excess of Cost Hydrocarbons, which is allocated to the Parties under the terms of the Contract.	1.50 Прибыльные Углеводороды означает ту часть от общего объема Углеводородов за вычетом Компенсационных Углеводородов, которая распределяется между Сторонами на условиях Контракта.
1.51 Recompletion means an operation whereby a Completion in one Zone is abandoned in order to attempt a Completion in a different Zone within the existing wellbore.	1.51 Повторное Заканчивание означает операцию, в рамках которой Заканчивание в одной Зоне прекращается для совершения попытки Заканчивания в другой Зоне в пределах существующего ствола скважины.
"Recomplete" and other derivatives shall be construed accordingly.	Термин "Повторно Заканчивать" и прочие производные термины получают соответствующее толкование.
1.52 Reworking means an operation conducted in the wellbore of a well after it is Completed to secure, restore, or improve production in a Zone which is currently open to production in the wellbore.	1.52 Повторная Разработка означает операцию, проводимую в стволе скважины после ее Заканчивания в целях обеспечения, восстановления или повышения нефтеотдачи в Зоне ствола скважины, в которой в данный момент ведется добыча.
Such operations include well stimulation operations, but exclude any routine repair or maintenance work, or drilling, Sidetracking, Deepening, Completing, Recompleting, or Plugging Back of a well.	Такие операции включают интенсификацию притока, но не включают повседневные ремонтные работы и техническое обслуживание скважины, а также бурение, Забуривание Нового Ствола из Существующей Скважины, Углубление, Заканчивание, Повторное Заканчивание и Тампонаж скважины.
"Rework" and other derivatives shall be construed accordingly.	Термин "Повторно Разрабатывать" и прочие производные термины получают соответствующее толкование.
1.53 Security means (i) a guarantee or standby letter of credit issued by a bank; (ii) an on-demand bond issued by a surety corporation; (iii) a corporate guarantee; (iv) any financial security required by the Contract or this Agreement; and (v) any financial security agreed from time to time by the Parties; provided, however, that the bank, surety or corporation issuing the guarantee, standby letter of credit, bond or other security (as applicable) has a credit rating indicating it has a sufficient worth to pay its obligations in all reasonably foreseeable circumstances.	1.53 Обеспечение означает (i) гарантию или гарантийный аккредитив, выданный банком; (ii) выданное поручителем долговое обязательство, подлежащее оплате по требованию; (iii) корпоративную гарантию; (iv) любое финансовое обеспечение, требуемое по Контракту или настоящему Соглашению; и (v) любое финансовое обеспечение, время от времени согласуемое Сторонами; при условии, однако, что такой банк, поручитель или корпорация, выдавшая гарантию, аккредитив, долговое обязательство или предоставившая иное обеспечение (в зависимости от ситуации), имеет кредитный рейтинг, подтверждающий достаточность его/ее средств для оплаты своих обязательств во всех разумно предвидимых обстоятельствах.
1.54 Senior Supervisory Personnel means, with respect to a Party, any individual who functions as:	1.54 Высшее Руководство означает, применительно к любой Стороне, любое физическое лицо, действующее в качестве:
ALTERNATIVE NO 1 - Field Supervisor Tier	ВАРИАНТ № 1 - Руководство операциями
its designated manager or supervisor who is responsible for or in charge of onsite drilling, construction or production and related operations, or any other field operations;	назначенного такой Стороной менеджера или руководителя, ответственного за проводимые на месторождении буровые работы, строительные работы, операции по добыче и связанные с ними операции, а также за любые другие операции на месторождении;
ALTERNATIVE NO 2 - Facility Manager Tier	ВАРИАНТ № 2 - Руководство сооружениями
its designated manager or supervisor of an onshore or offshore installation or facility used for operations and activities of such Party, but excluding all managers or supervisors who are responsible for or in charge of onsite drilling, construction or production and related operations or any other field operations;	назначенного такой Стороной менеджера или руководителя, ответственного за работу континентальных или шельфовых установок или сооружений, используемых в операциях и деятельности такой Стороны, за исключением всех менеджеров и руководителей, ответственных за буровые работы, строительные работы, операции по добыче и связанные с ними операции, а также за любые другие операции, проводимые на месторождении;
ALTERNATIVE NO 3 - Resident Manager and Direct Managerial Report Tier	ВАРИАНТ № 3 - Региональный менеджер и подотчетные ему лица
its senior resident manager who directs all operations and activities of such Party in the country or region in which he is resident, and any manager who directly reports to such senior resident manager in such country or region, but excluding all managers or supervisors who are responsible for or in charge of installations or facilities, onsite drilling, construction or production and related operations, or any other field operations;	старшего регионального менеджера такой Стороны, осуществляющего руководство всеми операциями и деятельностью такой Стороны в той стране или регионе, в котором он проживает, а также в качестве любого менеджера, непосредственно подотчетного старшему региональному менеджеру в данной стране или регионе, за исключением всех менеджеров и руководителей, ответственных за работу установок и сооружений, за буровые работы, строительные работы, операции по добыче и связанные с ними операции, а также за любые другие операции, проводимые на месторождении;
ALTERNATIVE NO 4 - Resident Manager Tier	ВАРИАНТ № 4 - Региональный менеджер
its senior resident manager who directs all operations and activities of such Party in the country or region in which he is resident, but excluding all managers or supervisors who are responsible for or in charge of installations or facilities, onsite drilling, construction or production and related operations, or any other field operations;	старшего регионального менеджера такой Стороны, осуществляющего руководство всеми операциями и деятельностью такой Стороны в той стране или регионе, в котором он проживает, за исключением всех менеджеров и руководителей, ответственных за работу установок и сооружений, за буровые работы, строительные работы, операции по добыче и связанные с ними операции, а также за любые другие операции, проводимые на месторождении;
and, in any of the above alternatives, any individual who functions for such Party or one of its Affiliates at a management level equivalent to or superior to the tier selected, or any officer or director of such Party or one of its Affiliates.	а также, в любом из вышеперечисленных вариантов, любое лицо, выполняющее для такой Стороны или одного из ее Аффилированных Лиц функции руководителя того же ранга, что и указанный уровень руководства, или более высокого ранга, и любое должностное лицо или директора такой Стороны или одного из ее Аффилированных Лиц.
